Text,spam
RS ATIYA MOHamEED Dear=2EDirector       It is my pleasure to write this mail to you and to say thanks for your effort in providing an opportunity to read my mail=2E I got your contact when i was making some searches in the internet=2E My name is Mrs Atiya MoHameed=2C a Liberian=2E I was until recently the wife of Mr=2E Ibrahim MoHameed  who was the chief army officer to my country Libera=2E I am contacting you  to seek your co-operation in investing $USD10=2EM in your company or your country=2Cs economy=2EMy  husband made this money when he was on sit as the commander and chief army officer while  Charles Taylor is the president  of Liberia=2EDue to some religious and political problems =2C my husband was  hijacked and brutally assasainated by the rebel leathers in Liberia=2EIt is worthy to note that during my husband's life time he used his position as a former chief aid to must have made this money in question=2EThis money was realised from  the sales of gold and diamond =2Cwhich are the country's major resources and sources of income=2EAnd before his death =2Cmy husband was able to send this money via a Ghanian diplomatic contact to the country =2Cwhere it is currently secured with a security company as a FAMILY  TREASURE and  my name was used as the depositor in view of my husband=2Cs position as an insider in the government=2EAnd it was my husband=2Cs refusal to realise the money to former President Charles Taylor that resulted in the killing in February 2003=2ENow =2C that i have passed through the mourning ordeal for my husband  I am   thinking and planning the next step to take with respect to how  and where  to invest the money=2ESo my aim of sending this mail to you is to solicit your assistance in transfering this money to your country where it could be invested in a viable business for our mutual benefit=2E I am ready to enter into a joint venture with your company or we can open a new company with the money because i'm sure the money inside the box can establish a company of any type=2E  I want to assure you that you will be highly rewarded for your assistance both in cash or in the joint venture=2EPlease reply to this mail=2C indicating your ability to handle this transaction so that i will give you details to enable us map out strategies for the implementation of this project=2E Best regards=2CMrs=2EAtiya MoHameed  ,1
Blair just finished with BN. He wants to talk to both of you and is available from now on.,0
7:45 am PHONE CALL w/PHILIPPE *Private Residence8:30 am DEPART Private Residence *En route NBC Studio8:50 am ARRIVE NBC Studio9:00 am TAPED INTERVIEW w/NBC MEET THE PRESS' DAVID GREGORY9:20 am NBC Studio9:25 am DEPART NBC Studio *En route State Department9:40 am ARRIVE State Department9:55 am RECEPTION TO CELEBRATE THE OPENING OF THE USA10:20 am PAVILLION AT THE 2010 SHANGHAI WORLD EXPOBenjamin Franklin Room 8th Floor10:30 am BILATERAL w/KUWAITI DEPUTY PRIME MINISTER/FOREIGN11:00 am MINISTER DR MOHamMAD SABAH AL-SALEM AL SABAFISecretary's Conference Room *Official photo in East Hall preceding.11:00 am PRESS PRE-BRIEF11:05 am Secretary's Office11:05 am JOINT PRESS AVAILABILITY w/QATARI PRIME MINISTER AND11:20 am FM DR MOHamMAD al-SARAH al-SALEM AL SARAH Treaty Room11:30 am OFFICE TIME12:45 pm Secretary's Office12:45 pm PRE-BRIEF MEETING1:15 pm Secretary's Office1:15 pm BILATERAL w/SPAMSH FM MIGUEL ANGEL MORATINOS1:45 pm Secretary's Conference Room *Camera Spray in Treaty Room preceding.2:00 pm ONE-ON-ONE MEETING w/AFGHAN PRESIDENTIAL ADVISOR2:30 pm ASHRAF GRAM Secretary's Office2:50 pm VIDEOS (4)3:05 pm George Marshall Room 76 Floor3:10 pm 152ND FOREIGN SERVICE OFFICER ORIENTATION CLASS3:25 pm SWEARING-IN CEREMONY Dean Acheson Auditorium First Floor3:30 pm OFFICE TIME4:15 pm Secretary's Office4:20 pm DEPART State Department *En route Washington National Airport4:40 pm ARRIVE Washington National Airport5:00 pm DEPART Washington National Airport via US Airways Shuttle #2180En route New York NY6:25 pm ARRIVE LaGuardia Airport6:35 pm DEPART LaGuardia Airport *En route Private Residence ##4,0
Who do I congratulate at weekly meeting Monday on securing agreement?,0
I have been monitoring the wikipedia situation and working with the R team to try and be as prepared as we can.I am heading to Indonesia on Monday for the opening of the new American Center and then to Malaysia where amongother things I plan to work with Paul Jones on the English language initiative.I will be traveling all day Monday so unfortunately out of touch for about 18 hours. I will be in contact with my office assoon as I land and can always cut the trip short if necessary although under the circumstances I think it is important tokeep to our schedules.As we have discussed one of the main drivers of our PD strategy is to ensure we have strong relations in all sectors tohelp us weather the invitable storms in our relationships and at this point it looks like we have a hurricane on thehorizon.Take care and look forward to seeing you when we both get back.Jm,0
"Solicitors, Corporate & Property     Consultants.South Africa.Dear Sir,I hope this meets you in good well. My name is Sizu Zamba  (Esq). a legal =practitioner and Attorney to late Mr. Ziya Bazhayev who died in the plane =crash of Yak-40 jetliner on March 9, 2000.  You may follow the Link below to =read about the Plane Crash my client lost his life:http://www.amarillonet.com/stories/031500/usn_LA0703.001.shtml & http:/ews.1chinastar.com/ll/english/61934.shtmlMy late client was an influential wealthy businessman, a Russian Contractor =in my Country and a Russian big time Oil dealer and the Principal owner of =Oil Alliance Company and he left behind a deposit of Twelve Million, Two =Hundred Thousand United States Dollar ($12,200,000.00USD) in his domiciliary =bank account in a commercial bank here in South Africa. Which is one of the =main reasons it has been very important to locate his next of kin. I have =employed every method to locate any of my clients extended relatives but this =exercise has proved unsuccessful.After the death of my client his bankers contacted me, as his Attorney to =provide his next of kin who should inherit his fortune. The director of =remittance of his bank adopted a resolution and I was mandated to provide his =next of kin for the payment of this money or forfeit the money to the bank as =an abandoned Estate. The bankers had planned to invoke a clause in the =property Act, to confiscate the funds after the expiration of a period given =to me.I am convinced that you may be able to act in locus for my late client as his =next of kin, I therefore, decided to contact you with these facts before me. =By virtue of my brief and my closeness to the deceased, I am very much aware =of my client's financial standing and the bank account he operates here in my =country.I have reasoned very professionally and I feel it will be legally proper to =present you as the next of kin of my deceased client and the sole beneficiary =of his estate, so that you are be paid the funds left in his bank account, =hence I contacted you. I seek your consent to present you as the Next of Kin; =the bank needs only the facts as presented legally. The rest is between you =and I and with my guide we can have the money paid into your account, once =this is done we shall both share the funds. 50% to me and 40% to you, while =10% should be for Expenses or Taxes as may be required. I shall assemble all =the necessary Legal Documents that will be used to back up our claim. All I require is your honest cooperation to enable us see this deal through I =guarantee that this will be executed under a legitimate arrangement that will =protect you from any Breach of law. Please get in touch with me.Best Regards,",1
Call sheet on its way.Steinberg has cleared45,0
Mills Cheryl D <MillsCD@state.gov>Monday April 27 2009 2:19 PMHFW.CV Apr09.doc,0
Yes I have a copy.,0
H <hrod17@clintonemail.com >Sunday Jul26 2009 7:53 AM'preineRe: QuestionsThx. I meant budget question to refer to overall budget. Can you get that for me?,0
"#45 Rue Grand Yorf,DAKAR, SENEGAL.Assalamaulakum.My Dear Friend,Compliments of the day.I did like to send to you the best wishes of good health and success in your pursuits particularly through my proposal as contained in this letter. After due deliberation with my son,I decided to forward to you this business proposal, we want you to assist us .I will give you more information. As to this regard as soon as you reply.I am Mrs.Estelle Mamadou . I am contacting you with the hope that you will be of great assistance to me, I currently have within my reach the sum of 7.3 million U.S dollars cash which I intend to use for investment purposes.I therefore personally appeal to you seriously and religiously for your urgent assistance to move this money in to your country where I believe it will be safe since I cannot leave the country due to the restriction of movement imposed on the members of my family by the Senegal Government.This money came as a result of a payback contract deal between my husband and a Russian firm in our country.The Russian partners returned my husbands share .Presently, the Government has intensified their probe in to my husbands financial resources which has led to the freezing of all our accounts, local and foreign, the revoking of all our business licences and the arrest of my First son.In view of this I want to acted very fast to withdraw this money from one of our finance houses before it will be closed down.My husband deposited the money in a finance firm for safe keeping . No record is known about this fund by the government because there is no documentation showing that we have such funds.Further more, my elder son have been in detention in the last four years following the death of my late husband for charges of State organized murder and corrupt practices. he was just been released by the Supreme Court after the president brokered a deal with my family regarding his freedom. and he is still under interrogation about my late husband's assets and some vital documents.Due to the current situation in the country and government attitude to my family,I cannot make use of this money within, thus I seek your help in transferring this funds out for investment than leaving the fund here and to invest the money to profit my family Bearing in mind that you may assist me.l have decided to part with 25% of the total sum.I am seriously considering to settle down abroad in a friendly atmosphere like yours as soon as this fund get into your account so that I can start all over again if only you wish. I shall ask my son MoHammade to come over to your country to liaise with you. If this proposal satisfies you. please do not let me out to the security as I am giving you this information in total trust and confidence.Please kindly reply by return mail and please include your personal telephone and fax numbers. Conclusively,we have decided part with 25% of the total sum. of the total sum,10% will be for expenses incurred during thecause of this transaction, while 65% is to be held on trust by you until we can decide on a suitable business investment in your country subsequent to our free movement by the Senegal Government.I will greatly appreciate if you accept my proposal in good faith.Your URGENT response is needed.Regards and God Bless you.Mrs.Estelle Mamadou ._________________________________________________________________Dï¿½couvrez Windows Live Messenger : le futur de MSN Messenger ! www.windowslivemessenger.fr",1
Just found out you are of course in P'burg trying to herd cats. See you back in DC.,0
"Magnum Funds25 Maiden Lane Covent Garden London WC2E 7JSHello,Do accept my sincere apologies if my mail does not meet your personal eth=ics.I will introduce myself as Mr.Robbin Kuuk, a staff in the accounts manage=mentsection of the above firm here in the United Kingdom. One of our accounts with holding balance of =A315,000,000(Fifteen Million=British Pounds) has been dormant and has not been operated for the pastfour (4) years. >From my investigations and confirmations, the owner of this account, a fo=reignerby name Kurt Kahle died in July, 2000  and since then nobody has done any=thingas regards the claiming of this money because he has no family members wh=oare aware of the existence of neither the account nor the funds. I have secretly discussed this matter with a senior official of this comp=anyand we have agreed to find a reliable foreign partner to deal with. We th=uspropose to do business with you, standing in as the next of kin of thesefunds from the deceased and funds released to you after due processes hav=ebeen followed. This transaction is totally free of risk and troubles as the fund is legi=timateand does not originate from drug, money laundry, terrorism or any otherillegal act. On receipt of your response I will furnish you with detailed=clarification as it relates to this mutual benefit transaction. I look fo=rwardto hearing from you as soon as possible if you are interested. Regards, Mr.Robbin Kuuk",1
Aftachments: DiplomacyChapter10 24 10 final 3 pm.doc; Development_Chapter_10_22_10 CLEAN.doc;QDDR_Chapter 3_Crisis_Conflictand_Instability_102210_final clean.doc; Workingsmarter 10 24 10 final.doc; DiplomacyChapter10 24 10 final 3 pm.doc;Development_Chapter 10_22_10 CLEAN.doc; QDDR_Chapter 3_Crisis_Conflictand_Instability_102210_final clean.doc; Working smarter 10 24 10final.docWith prodigious efforts by your entire team (Jeanne Dana and Ed Meier worked very hard with Pat and his people overthe past week on the last chapter in addition to Bill Karen both Jim and Don Steinberg and others at both State andUSAID) greatly aided by spectacular thinking and all-night editing from Jake here are a much improved four chapters.Among other things the 4th chapter now showcases much of the great work jack and his team have already done.In the final report we will have1.An introductory 1-2 page letter from you2. An exec summary (10-15 pp that can be read in lieu of entire doc)3. An introduction framing the chapters in terms of leading thru civilian power;4. A chapter on the global trends and policies driving our assessment of the capabilities we need (written but not yetedited):5. the attached 4 chapters;6. a final chapter on the National Security Budget;7. A conclusion.With the edits/cuts this week we are on track to come in some 5000-10000 words shorter than the QDR.We're working this week on roll-out strategies of every kind as well as further revisions to fill holes and respond to yourand other comments.Happy reading!AM,0
"FROM RICHARD AND JanetDear sir,I am Sanko Richard the only son of late former Director of finance,  Dr=20Johnson Sanko of Sierra-Leone diamond and mining corporation.I must confess my agitation is real, and my words is my bond, in this=20proposal.My late father diverted this money meant for purchase of ammunition, for =my=20country, during the peak of disastrous civil war in my country, now he ha=s=20deposited the money with BANK here in Abidjan, where I am residing under=20political Assylum with my younger sister Janeth.For you to assist me transfer this money in your private bank account, th=e=20said amount is twenty four million United States dollars. I am compensati=ng=20you with 15% of the total money amount,now all my hope is banked on you a=nd=20I really wants to invest this money in your country, were their is stabil=ityof Government,political and economic welfare.Honestly I want you to believe that this transaction is real and never a=20joke. My late father Dr johnso n sanko gave me the deposit slip issued to==20him by the Bank on the date of deposit, for you to be clarify because, I =do=20not expose my self to anybody I see, I believe that you are able to keep=20this transaction secret for me because this money is the hope of my life,=it=20is important.Please write me immediately after you must have gone through my message f=ill=20free and make it urgent. That is the reason why I offered you 15% of the=20total money amount, and in case of any other necessary expenses you might==20incure, I am resolving to give you an addition of 5% during this=20transaction.N.B Try and negotiate for me some profitable blue chip investment=20opportunities which is risky free which I can invest with this money when= it=20is transferred to your account, personally I am interested in estate=20management and hotel business, please advise me.And promise me and my younger sister to be our guardian considering our=20situation and not to betray us.Please we waiting to hear from you.thanks and God bless you.Yours truly,Richard AND JANETFROM RICHARD AND JANET.contact me on .richard64sanko@yahoo.itDear sir,I am Sanko Richard the only son of late former Director of finance,  Dr=20Johnson Sanko of Sierra-Leone diamond and mining corporation.I must confess my agitation is real, and my words is my bond, in this=20proposal.My late father diverted this money meant for purchase of ammunition, for =my=20country, during the peak of disastrous civil war in my country, now he ha=s=20deposited the money with BANK here in Abidjan, where I am residing under=20political Assylum with my younger sister Janeth.For you to assist me transfer this money in your private bank account, th=e=20said amount is twenty four million United States dollars. I am compensati=ng=20you with 15% of the total money amount,now all my hope is banked on you a=nd=20I really wants to invest this money in your country, were their is stabil=ityof Government,political and economic welfare.Honestly I want you to believe that this transaction is real and never a=20joke. My late father Dr johnso n sanko gave me the deposit slip issued to==20him by the Bank on the date of deposit, for you to be clarify because, I =do=20not expose my self to anybody I see, I believe that you are able to keep=20this transaction secret for me because this money is the hope of my life,=it=20is important.Please write me immediately after you must have gone through my message f=ill=20free and make it urgent. That is the reason why I offered you 15% of the=20total money amount, and in case of any other necessary expenses you might==20incure, I am resolving to give you an addition of 5% during this=20transaction.N.B Try and negotiate for me some profitable blue chip investment=20opportunities which is risky free which I can invest with this money when= it=20is transferred to your account, personally I am interested in estate=20management and hotel business, please advise me.And promise me and my younger sister to be our guardian considering our=20situation and not to betray us.Please we waiting to hear from you.thanks and God bless you.Yours truly,Richard AND JANET Please reply me viarichard64sanko@yahoo.itFROM RICHARD AND JanetDear sir,I am Sanko Richard the only son of late former Director of finance,  Dr=20Johnson Sanko of Sierra-Leone diamond and mining corporation.I must confess my agitation is real, and my words is my bond, in this=20proposal.My late father diverted this money meant for purchase of ammunition, for =my=20country, during the peak of disastrous civil war in my country, now he ha=s=20deposited the money with BANK here in Abidjan, where I am residing under=20political Assylum with my younger sister Janeth.For you to assist me transfer this money in your private bank account, th=e=20said amount is twenty four million United States dollars. I am compensati=ng=20you with 15% of the total money amount,now all my hope is banked on you a=nd=20I really wants to invest this money in your country, were their is stabil=ityof Government,political and economic welfare.Honestly I want you to believe that this transaction is real and never a=20joke. My late father Dr johnso n sanko gave me the deposit slip issued to==20him by the Bank on the date of deposit, for you to be clarify because, I =do=20not expose my self to anybody I see, I believe that you are able to keep=20this transaction secret for me because this money is the hope of my life,=it=20is important.Please write me immediately after you must have gone through my message f=ill=20free and make it urgent. That is the reason why I offered you 15% of the=20total money amount, and in case of any other necessary expenses you might==20incure, I am resolving to give you an addition of 5% during this=20transaction.N.B Try and negotiate for me some profitable blue chip investment=20opportunities which is risky free which I can invest with this money when= it=20is transferred to your account, personally I am interested in estate=20management and hotel business, please advise me.And promise me and my younger sister to be our guardian considering our=20situation and not to betray us.Please we waiting to hear from you.thanks and God bless you.Yours truly,Richard AND JANETFROM RICHARD AND JANET.contact me on .richard64sanko@yahoo.itDear sir,I am Sanko Richard the only son of late former Director of finance,  Dr=20Johnson Sanko of Sierra-Leone diamond and mining corporation.I must confess my agitation is real, and my words is my bond, in this=20proposal.My late father diverted this money meant for purchase of ammunition, for =my=20country, during the peak of disastrous civil war in my country, now he ha=s=20deposited the money with BANK here in Abidjan, where I am residing under=20political Assylum with my younger sister Janeth.For you to assist me transfer this money in your private bank account, th=e=20said amount is twenty four million United States dollars. I am compensati=ng=20you with 15% of the total money amount,now all my hope is banked on you a=nd=20I really wants to invest this money in your country, were their is stabil=ityof Government,political and economic welfare.Honestly I want you to believe that this transaction is real and never a=20joke. My late father Dr johnso n sanko gave me the deposit slip issued to==20him by the Bank on the date of deposit, for you to be clarify because, I =do=20not expose my self to anybody I see, I believe that you are able to keep=20this transaction secret for me because this money is the hope of my life,=it=20is important.Please write me immediately after you must have gone through my message f=ill=20free and make it urgent. That is the reason why I offered you 15% of the=20total money amount, and in case of any other necessary expenses you might==20incure, I am resolving to give you an addition of 5% during this=20transaction.N.B Try and negotiate for me some profitable blue chip investment=20opportunities which is risky free which I can invest with this money when= it=20is transferred to your account, personally I am interested in estate=20management and hotel business, please advise me.And promise me and my younger sister to be our guardian considering our=20situation and not to betray us.Please we waiting to hear from you.thanks and God bless you.Yours truly,Richard AND JANET Please reply me viarichard64sanko@yahoo.itFROM RICHARD AND JanetDear sir,I am Sanko Richard the only son of late former Director of finance,  Dr=20Johnson Sanko of Sierra-Leone diamond and mining corporation.I must confess my agitation is real, and my words is my bond, in this=20proposal.My late father diverted this money meant for purchase of ammunition, for =my=20country, during the peak of disastrous civil war in my country, now he ha=s=20deposited the money with BANK here in Abidjan, where I am residing under=20political Assylum with my younger sister Janeth.For you to assist me transfer this money in your private bank account, th=e=20said amount is twenty four million United States dollars. I am compensati=ng=20you with 15% of the total money amount,now all my hope is banked on you a=nd=20I really wants to invest this money in your country, were their is stabil=ityof Government,political and economic welfare.Honestly I want you to believe that this transaction is real and never a=20joke. My late father Dr johnso n sanko gave me the deposit slip issued to==20him by the Bank on the date of deposit, for you to be clarify because, I =do=20not expose my self to anybody I see, I believe that you are able to keep=20this transaction secret for me because this money is the hope of my life,=it=20is important.Please write me immediately after you must have gone through my message f=ill=20free and make it urgent. That is the reason why I offered you 15% of the=20total money amount, and in case of any other necessary expenses you might==20incure, I am resolving to give you an addition of 5% during this=20transaction.N.B Try and negotiate for me some profitable blue chip investment=20opportunities which is risky free which I can invest with this money when= it=20is transferred to your account, personally I am interested in estate=20management and hotel business, please advise me.And promise me and my younger sister to be our guardian considering our=20situation and not to betray us.Please we waiting to hear from you.thanks and God bless you.Yours truly,Richard AND JANETFROM RICHARD AND JANET.contact me on .richard64sanko@yahoo.itDear sir,I am Sanko Richard the only son of late former Director of finance,  Dr=20Johnson Sanko of Sierra-Leone diamond and mining corporation.I must confess my agitation is real, and my words is my bond, in this=20proposal.My late father diverted this money meant for purchase of ammunition, for =my=20country, during the peak of disastrous civil war in my country, now he ha=s=20deposited the money with BANK here in Abidjan, where I am residing under=20political Assylum with my younger sister Janeth.For you to assist me transfer this money in your private bank account, th=e=20said amount is twenty four million United States dollars. I am compensati=ng=20you with 15% of the total money amount,now all my hope is banked on you a=nd=20I really wants to invest this money in your country, were their is stabil=ityof Government,political and economic welfare.Honestly I want you to believe that this transaction is real and never a=20joke. My late father Dr johnso n sanko gave me the deposit slip issued to==20him by the Bank on the date of deposit, for you to be clarify because, I =do=20not expose my self to anybody I see, I believe that you are able to keep=20this transaction secret for me because this money is the hope of my life,=it=20is important.Please write me immediately after you must have gone through my message f=ill=20free and make it urgent. That is the reason why I offered you 15% of the=20total money amount, and in case of any other necessary expenses you might==20incure, I am resolving to give you an addition of 5% during this=20transaction.N.B Try and negotiate for me some profitable blue chip investment=20opportunities which is risky free which I can invest with this money when= it=20is transferred to your account, personally I am interested in estate=20management and hotel business, please advise me.And promise me and my younger sister to be our guardian considering our=20situation and not to betray us.Please we waiting to hear from you.thanks and God bless you.Yours truly,Richard AND JANET Please reply me viarichard64sanko@yahoo.itFROM RICHARD AND JanetDear sir,I am Sanko Richard the only son of late former Director of finance,  Dr=20Johnson Sanko of Sierra-Leone diamond and mining corporation.I must confess my agitation is real, and my words is my bond, in this=20proposal.My late father diverted this money meant for purchase of ammunition, for =my=20country, during the peak of disastrous civil war in my country, now he ha=s=20deposited the money with BANK here in Abidjan, where I am residing under=20political Assylum with my younger sister Janeth.For you to assist me transfer this money in your private bank account, th=e=20said amount is twenty four million United States dollars. I am compensati=ng=20you with 15% of the total money amount,now all my hope is banked on you a=nd=20I really wants to invest this money in your country, were their is stabil=ityof Government,political and economic welfare.Honestly I want you to believe that this transaction is real and never a=20joke. My late father Dr johnso n sanko gave me the deposit slip issued to==20him by the Bank on the date of deposit, for you to be clarify because, I =do=20not expose my self to anybody I see, I believe that you are able to keep=20this transaction secret for me because this money is the hope of my life,=it=20is important.Please write me immediately after you must have gone through my message f=ill=20free and make it urgent. That is the reason why I offered you 15% of the=20total money amount, and in case of any other necessary expenses you might==20incure, I am resolving to give you an addition of 5% during this=20transaction.N.B Try and negotiate for me some profitable blue chip investment=20opportunities which is risky free which I can invest with this money when= it=20is transferred to your account, personally I am interested in estate=20management and hotel business, please advise me.And promise me and my younger sister to be our guardian considering our=20situation and not to betray us.Please we waiting to hear from you.thanks and God bless you.Yours truly,Richard AND JANETFROM RICHARD AND JANET.contact me on .richard64sanko@yahoo.itDear sir,I am Sanko Richard the only son of late former Director of finance,  Dr=20Johnson Sanko of Sierra-Leone diamond and mining corporation.I must confess my agitation is real, and my words is my bond, in this=20proposal.My late father diverted this money meant for purchase of ammunition, for =my=20country, during the peak of disastrous civil war in my country, now he ha=s=20deposited the money with BANK here in Abidjan, where I am residing under=20political Assylum with my younger sister Janeth.For you to assist me transfer this money in your private bank account, th=e=20said amount is twenty four million United States dollars. I am compensati=ng=20you with 15% of the total money amount,now all my hope is banked on you a=nd=20I really wants to invest this money in your country, were their is stabil=ityof Government,political and economic welfare.Honestly I want you to believe that this transaction is real and never a=20joke. My late father Dr johnso n sanko gave me the deposit slip issued to==20him by the Bank on the date of deposit, for you to be clarify because, I =do=20not expose my self to anybody I see, I believe that you are able to keep=20this transaction secret for me because this money is the hope of my life,=it=20is important.Please write me immediately after you must have gone through my message f=ill=20free and make it urgent. That is the reason why I offered you 15% of the=20total money amount, and in case of any other necessary expenses you might==20incure, I am resolving to give you an addition of 5% during this=20transaction.N.B Try and negotiate for me some profitable blue chip investment=20opportunities which is risky free which I can invest with this money when= it=20is transferred to your account, personally I am interested in estate=20management and hotel business, please advise me.And promise me and my younger sister to be our guardian considering our=20situation and not to betray us.Please we waiting to hear from you.thanks and God bless you.Yours truly,Richard AND JANET Please reply me viarichard64sanko@yahoo.it",1
Will do.,0
Was trying to call out to you.There are troops in there from camp leguene deploying to afghanistan. Will want pictures etc with you.51,0
Fyi,0
"MR.FAN JEN-LIANG.SHANGHAI COMMERCIAL BANK LIMITED,UK BRANCH65 CORNHILL LONDON EC3V 3NP,UNITED KINGDOM.Greetings,I would not have used this medium (Internet) but I choose to reach youthrough it because it is the fastest,surest and most secured medium ofcommunication. However,this correspondence is un-official and private,andit should be treated as such. I also guarantee you that this transactionis risk free from all what you may think of.I am Mr.Fan Jen-Liang,an account officer with SHANGHAI COMMERCIAL BANKLIMITED (London Branch), I am contacting you based on trust andconfidentiality that will be attached to this transaction.The Managementand the Legal department of our BANK (SHANGHAI COMMERCIAL BANK LIMITED UK)in a recent meeting,recommended that the account of one of my latecustomer and branch depositor MR. YUGUANG ZHENG,should be declareddormant,confisticated and the depositor's fund sent to the Bank Treasuryaccording to UK Banking and financial law.The depositor,YUGUANG ZHENG died in world trade centre and was one of thevictims of the september 11,2001 incident that befall the United State ofAmerica,ever since his death the bank has made series of efforts tocontact any of the relatives to claim this money but without success, youcan confirm through this site:http://www.september11victims.com/september11Victims/victims_list.htmMR.YUGUANG ZHENG is an account holder in my branch, he owns a dollaraccount with the sum of US$8.3M (Eight Million,three Hundred ThousandUnited States Dollars Only) deposited in a Secret account with my branch.In fact, since his death in 2001, no next of kin of the Dollar accountholder nor any his relative  has shown up to claim his money this isbecause he has the account as a secret account and he left all thedocuments for the deposit with me.Having waited since 2001,I am now fully convinced that no one would turnup to claim his money before the bank stipulated collection deadline andthis is where I am interested and why I want to present you now to my bankas the relation of the deceased,I will use my position here in the bankand I will give you the relevant documents and contacts to file in theclaim application and then effect the approvals for  the transfer of themoney to your nominated bank account, I will be the one to provide thevital documents for the claims of the money and then advise you  exactlyhow we should handle it.Please include your telephone/fax number/ Home Address when replying thismail and I will give you more information as soon as you indicate yourwillingness to assist in this transaction.I will use my position to get all internal documentations to back up theclaims.Do not be bothered that you are not related in any way to him as Iam in position to afix your name as the next of kin.The whole Procedures will last only 7 working days to get the fundretrieved successfully without trace even in future. After the transfer ofthe money we shall share the money 60-40,that is I  will have 60% whileyou will have 40%.I await your urgent response to this mail.Reply to my Private Email:fanjenliang@terrapins.com or call me on my direct telephone:44-7031915718.Remain blessed,MR.FAN JEN-LIANG.SHANGHAI COMMERCIAL BANK LIMITED,UK(London Branch)Private Email:fanjenliang@terrapins.comDirect Telephone:44-7031915718.",1
21,0
FYI. Israelis spinning up a storm starting with plane briefing on the way over.,0
"MANCHESTER (WA) 20515  Greetings,  As you read this, I don't want you to feel sorry forme, because I believe everyone will die someday.  Myname is Mr.CAMPBELL WILLIAM, from NEW ZEALAND, I havebeen diagnosed with esophageal cancer, which wasdiscovered very late, due to my laxity in carrying formy health. It has defiled all forms of medicine, andright now I have only about a few months to live,according to medical experts.  I have since lost my power of speech and can onlymanage to write now, as that has been the only way Iam able to communicate. I have not particularly livedmy life so well, as I never really cared for anyonenot even myself but my business. Though I am veryrich, I was never generous, I was always hostile topeople and only focus on my business as that is theonly thing I cared for  But now I regret all this as I now know that there ismore to life than just wanting to have or make all themoney in the world. I believe when God gives me asecond chance to come to this world I would live mylife a different way from how I have lived it. Nowthat I know my time is near, I have willed and givenmost of my properties and assets to my immediate andextended family members and as well as a few closefriends.  I want God to be merciful to me and accept my soul andso, I have decided to give alms to charityorganizations, as I want this to be one of the lastgood deeds I did on earth. So far, I have distributedmoney to some charity organizations in UK, Brazil andIreland. Now that my health has deteriorated so badly,I cannot do this my self any more. I once askedmembers of my family to close one of my accounts anddonate the money, which I have there to charityorganization in Bulgaria and South Africa, theyrefused and kept the money to themselves.  Hence, I do not trust them anymore, as they seem notto be contented with what I have left for them. Thelast of my money which only few of them knows of isthe huge cash deposit that I have with my Bank inABIDJAN. I will want you to help me collect thisdeposit and dispatched it to charity organizations.waiting for reply. Regards, MR Campbell William      ____________________________________________________________________________________________Dï¿½couvrez le blog Yahoo! Mail : derniï¿½res nouveautï¿½s, astuces, conseils.. et vos rï¿½actions !http://blog.mail.yahoo.fr",1
I meant after 1:30. Thx,0
Sounds good.,0
Agree - it we also have folks who need hosp care for a period; there are several things like this we should consider Sentvia BlackBerry by AT&T,0
B6i would adviseB5B6Cheryl Mills<RELEASE IN PART B5B6,0
